wavelength,intensity
178.85863,17.620995621110854
179.23769583230757,27012.98628716294
179.6167331984804,1336.6783821156948
179.9957420823939,1261.1598294537912
180.3747224679233,1329.1265268495044
180.75367433894397,1379.472228624107
181.13259767933113,1281.2981101636321
181.51149247296019,1291.3672505185527
181.89035870370637,1235.98697856649
182.26919635544505,1364.3685180917262
182.6480054120515,1339.195667204425
183.02678585740105,1311.5055312283937
183.40553767536898,1346.7475224706154
183.78426084983064,1359.333947914266
184.16295536466131,1452.4734961972804
184.54162120373633,1404.645079511408
184.92025835093094,1356.8166628255358
185.2988667901205,1460.0253514634708
185.67744650518037,1470.0944918183914
186.05599747998573,1553.1648997464854
186.434519698412,1517.9229085042637
186.81301314433443,1530.5093339479142
187.19147780162837,1545.613044480295
187.56991365416914,1580.8550357225167
187.94832068583193,1613.5797418760083
188.32669888049222,1636.2353076745794
188.70504822202517,1616.0970269647385
189.08336869430616,1613.5797418760083
189.46166028121053,1681.5464392717215
189.83992296661353,1704.2020050702927
190.2181567343905,1628.683452408389
190.59636156841674,1699.1674348928325
190.97453745256755,1653.8563032956902
191.35268437071826,1757.0649919336252
191.73080230674415,1704.2020050702927
192.10889124452058,1731.892141046324
192.48695116792277,1812.4452638856878
192.86498206082615,1694.1328647153723
193.2429839071059,1739.4439963125144
193.62095669063743,1734.4094261350542
193.99890039529598,1736.9267112237842
194.3768150049569,1726.8575708688638
194.75470050349554,1719.3057156026734
195.13255687478713,1731.892141046324
195.51038410270698,1769.651417377276
195.88818217113044,1709.2365752477529
196.2659510639328,1794.824268264577
196.6436907649894,1752.030421756165
197.02140125817547,1696.6501498041023
197.39908252736643,1802.3761235307675
197.7767345564375,1746.9958515787048
198.15435732926403,1789.789698087117
198.53195082972135,1736.9267112237842
198.90951504168467,1749.513136667435
199.2870499490294,1762.0995621110856
199.66455553563083,1754.5477068448952
200.0420317853642,1736.9267112237842
200.41947868210494,1784.7551279096565
200.79689620972826,1716.7884305139432
201.17428435210954,1721.8230006914036
201.551643093124,1719.3057156026734
201.928972416647,1704.2020050702927
202.3062723065539,1668.960013828071
202.68354274671992,1694.1328647153723
203.06078372102044,1716.7884305139432
203.43799521333068,1767.1341322885457
203.81517720752606,1633.7180225858492
204.1923296874818,1731.892141046324
204.56945263707325,1724.3402857801336
204.9465460401757,1739.4439963125144
205.3236098806645,1704.2020050702927
205.70064414241492,1714.2711454252133
206.0776488093023,1736.9267112237842
206.45462386520188,1744.4785664899746
206.83156929398902,1676.5118690942613
207.20848507953906,1704.2020050702927
207.58537120572726,1668.960013828071
207.96222765642895,1648.82173311823
208.33905441551943,1734.4094261350542
208.71585146687403,1734.4094261350542
209.092618794368,1668.960013828071
209.46935638187674,1686.581009449182
209.84606421327544,1666.442728739341
210.22274227243955,1679.0291541829915
210.59939054324425,1719.3057156026734
210.9760090095649,1736.9267112237842
211.3525976552769,1779.7205577321963
211.72915646425542,1754.5477068448952
212.10568542037583,1681.5464392717215
212.4821845075134,1656.3735883844204
212.8586537095435,1769.651417377276
213.2350930103414,1686.581009449182
213.61150239378244,1724.3402857801336
213.9878818437419,1681.5464392717215
214.36423134409512,1754.5477068448952
214.7405508787173,1681.5464392717215
215.1168404314839,1709.2365752477529
215.49309998627015,1699.1674348928325
215.8693295269514,1767.1341322885457
216.2455290374029,1643.7871629407698
216.6216985015,1721.8230006914036
216.997837903118,1686.581009449182
217.37394722613223,1731.892141046324
217.75002645441793,1679.0291541829915
218.1260755718505,1779.7205577321963
218.5020945623052,1671.4772989168011
218.87808340965734,1804.8934086194977
219.25404209778222,1741.9612814012446
219.62997061055518,1731.892141046324
220.0058689318515,1746.9958515787048
220.38173704554654,1686.581009449182
220.7575749355155,1754.5477068448952
221.1333825856338,1767.1341322885457
221.5091599797767,1706.7192901590229
221.8849071018195,1719.3057156026734
222.26062393563754,1789.789698087117
222.63631046510616,1769.651417377276
223.01196667410056,1714.2711454252133
223.38759254649617,1709.2365752477529
223.76318806616817,1757.0649919336252
224.138753216992,1676.5118690942613
224.5142879828429,1726.8575708688638
224.88979234759617,1759.5822770223554
225.26526629512716,1691.615579626642
225.64070980931115,1764.6168471998155
226.01612287402344,1719.3057156026734
226.39150547313938,1734.4094261350542
226.76685759053422,1711.753860336483
227.14217921008333,1757.0649919336252
227.51747031566197,1769.651417377276
227.8927308911455,1772.168702466006
228.2679609204092,1739.4439963125144
228.64316038732835,1736.9267112237842
229.01832927577829,1794.824268264577
229.39346756963437,1721.8230006914036
229.7685752527718,1741.9612814012446
230.14365230906597,1736.9267112237842
230.51869872239217,1754.5477068448952
230.89371447662572,1784.7551279096565
231.2686995556419,1757.0649919336252
231.643653943316,1711.753860336483
232.01857762352336,1794.824268264577
232.39347058013934,1749.513136667435
232.7683327970392,1714.2711454252133
233.14316425809818,1724.3402857801336
233.51796494719167,1757.0649919336252
233.892734848195,1719.3057156026734
234.26747394498344,1762.0995621110856
234.64218222143228,1673.9945840055311
235.01685966141687,1684.0637243604517
235.3915062488125,1724.3402857801336
235.76612196749448,1807.4106937082277
236.14070680133815,1842.6526849504494
236.5152607342187,1653.8563032956902
236.88978375001162,1724.3402857801336
237.26427583259206,1764.6168471998155
237.63873696583542,1749.513136667435
238.01316713361697,1726.8575708688638
238.38756631981207,1769.651417377276
238.76193450829598,1754.5477068448952
239.136271682944,1714.2711454252133
239.51057782763147,1782.2378428209265
239.8848529262337,1754.5477068448952
240.25909696262596,1762.0995621110856
240.63330992068362,1794.824268264577
241.0074917842819,1704.2020050702927
241.38164253729624,1731.892141046324
241.75576216360184,1784.7551279096565
242.12985064707408,1777.2032726434663
242.50390797158815,1764.6168471998155
242.8779341210195,1749.513136667435
243.25192907924335,1746.9958515787048
243.62589283013503,1764.6168471998155
243.99982535756993,1719.3057156026734
244.37372664542323,1734.4094261350542
244.74759667757033,1782.2378428209265
245.12143543788648,1779.7205577321963
245.495242910247,1814.962548974418
245.86901907852723,1736.9267112237842
246.24276392660246,1648.82173311823
246.616477438348,1726.8575708688638
246.99015959763918,1716.7884305139432
247.36381038835125,1769.651417377276
247.7374297943596,1729.3748559575938
248.11101779953947,1731.892141046324
248.48457438776617,1794.824268264577
248.85809954291508,1724.3402857801336
249.23159324886146,1701.6847199815625
249.6050554894806,1792.3069831758469
249.97848624864787,1802.3761235307675
250.3518855102385,1739.4439963125144
250.72525325812785,1714.2711454252133
251.09858947619125,1767.1341322885457
251.4718941483039,1711.753860336483
251.8451672583413,1731.892141046324
252.21840879017856,1772.168702466006
252.59161872769113,1709.2365752477529
252.96479705475423,1734.4094261350542
253.33794375524317,1721.8230006914036
253.71105881303333,1741.9612814012446
254.084142212,1706.7192901590229
254.45719393601843,1772.168702466006
254.83021396896402,1729.3748559575938
255.20320229471199,1782.2378428209265
255.57615889713767,1752.030421756165
255.94908376011645,1734.4094261350542
256.3219768675235,1726.8575708688638
256.6948382032343,1787.2724129983867
257.06766775112396,1696.6501498041023
257.4404654950679,1802.3761235307675
257.81323141894154,1764.6168471998155
258.18596550661994,1744.4785664899746
258.55866774197864,1699.1674348928325
258.93133810889276,1774.6859875547361
259.3039765912377,1746.9958515787048
259.67658317288885,1729.3748559575938
260.04915783772134,1784.7551279096565
260.4217005696106,1827.5489744180686
